#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
29.0,29,242.234132
14.0,14,242.235376
16.0,16,242.236798
29.0,29,242.239354
28.0,28,242.241877
83.0,83,242.248879
14.0,14,242.250158
34.0,34,242.253048
88.0,88,242.260707
13.0,13,242.261944
32.0,32,242.26496
18.0,18,242.266561
43.0,43,242.270299
17.0,17,242.2718
20.0,20,242.273559
13.0,13,242.274723
13.0,13,242.276026
12.0,12,242.277131
16.0,16,242.278598
15.0,15,242.279894
21.0,21,242.281877
21.0,21,242.283757
13.0,13,242.284931
33.0,33,242.287803
31.0,31,242.290912
15.0,15,242.292374
24.0,24,242.294527
57.0,57,242.299514
15.0,15,242.301096
22.0,22,242.303026
12.0,12,242.304206
19.0,19,242.305914
46.0,46,242.972884
17.0,17,243.041591
17.0,17,243.055615
12.0,12,243.064121
20.0,20,243.082479
12.0,12,243.095623
32.0,32,243.121649
15.0,15,243.136729
13.0,13,243.145833
23.0,23,243.163256
16.0,16,243.174495
10.0,10,243.180897
15.0,15,243.192515
11.0,11,243.200745
41.0,41,243.230931
16.0,16,243.24261
20.0,20,243.258168
18.0,18,243.273909
14.0,14,243.284444
13.0,13,243.293292
13.0,13,243.30459
15.0,15,243.314857
40.0,40,243.343864
11.0,11,243.352069
15.0,15,243.363903
14.0,14,243.373757
35.0,35,243.400121
28.0,28,243.420019
11.0,11,243.428928
27.0,27,243.44879
24.0,24,243.465806
9.0,9,243.471418
18.0,18,243.482709
12.0,12,243.491003
8.0,8,243.496668
14.0,14,243.507823
10.0,10,243.514871
21.0,21,243.53202
12.0,12,243.540332
16.0,16,243.552474
15.0,15,243.561511
25.0,25,243.581197
27.0,27,243.59833
11.0,11,243.606401
13.0,13,243.616075
13.0,13,243.628033
13.0,13,243.637133
14.0,14,243.646796
14.0,14,243.658545
14.0,14,243.667344
10.0,10,243.676183
28.0,28,243.695476
11.0,11,243.704006
12.0,12,243.713454
18.0,18,243.725437
23.0,23,243.742665
17.0,17,243.75408
13.0,13,243.763417
10.0,10,243.772444
20.0,20,243.786926
15.0,15,243.797695
16.0,16,243.808869
36.0,36,243.833856
12.0,12,243.84241
14.0,14,243.851291
13.0,13,243.860393
12.0,12,243.868498
13.0,13,243.879431
13.0,13,243.888201
28.0,28,243.910655
19.0,19,243.925087
11.0,11,243.93245
30.0,30,243.958628
13.0,13,243.96718
19.0,19,243.98208
15.0,15,243.995747
12.0,12,244.006174
15.0,15,244.014638
12.0,12,244.023252
38.0,38,244.051802
27.0,27,244.072736
37.0,37,244.100222
16.0,16,244.117705
10.0,10,244.127423
39.0,39,244.157453
27.0,27,244.178844
10.0,10,244.185655
11.0,11,244.193992
26.0,26,244.213983
11.0,11,244.220996
12.0,12,244.2302
13.0,13,244.243939
13.0,13,244.253886
13.0,13,244.263252
17.0,17,244.277079
17.0,17,244.294518
29.0,29,244.315538
28.0,28,244.337223
15.0,15,244.349631
9.0,9,244.356246
11.0,11,244.365051
13.0,13,244.373844
14.0,14,244.385109
23.0,23,244.401989
29.0,29,244.422321
39.0,39,244.455159
12.0,12,244.464627
24.0,24,244.482123
40.0,40,244.513549
17.0,17,244.52481
26.0,26,244.546877
13.0,13,244.557005
10.0,10,244.565501
18.0,18,244.578536
55.0,55,244.622513
11.0,11,244.632172
13.0,13,244.64118
14.0,14,244.650136
42.0,42,244.683965
22.0,22,244.698929
13.0,13,244.710401
26.0,26,244.727238
21.0,21,244.742051
15.0,15,244.753107
14.0,14,244.764666
10.0,10,244.774704
15.0,15,244.788584
44.0,44,244.825244
23.0,23,244.842754
12.0,12,244.852442
13.0,13,244.862142
28.0,28,244.881911
13.0,13,244.890931
13.0,13,244.900033
22.0,22,244.918525
16.0,16,244.9309
34.0,34,244.955873
17.0,17,244.970811
12.0,12,244.9796
15.0,15,244.988475
13.0,13,244.999862
25.0,25,245.018851
11.0,11,245.027473
22.0,22,245.042297
30.0,30,245.065087
22.0,22,245.080373
17.0,17,245.093636
19.0,19,245.1092
34.0,34,245.136266
19.0,19,245.155653
18.0,18,245.172143
27.0,27,245.191939
29.0,29,245.213299
30.0,30,245.233644
9.0,9,245.24214
