#{"t_start": 1760716355.7330248, "env_id": "CartPole-v1"}
r,l,t
500.0,500,112.755116
500.0,500,113.226575
500.0,500,113.739743
500.0,500,115.411526
500.0,500,115.789281
500.0,500,116.146711
500.0,500,116.519564
500.0,500,116.877749
500.0,500,118.410502
500.0,500,118.781778
500.0,500,119.176004
500.0,500,119.552271
500.0,500,121.073984
500.0,500,121.532578
500.0,500,121.893809
500.0,500,122.261546
500.0,500,123.856735
500.0,500,124.280148
500.0,500,124.767537
500.0,500,125.223777
500.0,500,127.154292
500.0,500,127.526672
500.0,500,127.902523
500.0,500,128.27136
500.0,500,129.816494
500.0,500,130.18675
500.0,500,130.557699
500.0,500,130.934991
500.0,500,132.466029
500.0,500,132.82549
500.0,500,133.206159
500.0,500,133.577473
500.0,500,135.097416
500.0,500,135.462511
500.0,500,135.820938
500.0,500,136.198366
500.0,500,138.257522
500.0,500,138.788197
500.0,500,139.176228
500.0,500,139.550429
500.0,500,141.106712
500.0,500,141.479426
500.0,500,141.837784
500.0,500,142.194686
500.0,500,143.779379
500.0,500,144.147269
500.0,500,144.529323
500.0,500,144.89007
500.0,500,146.434482
500.0,500,146.816411
500.0,500,147.182174
500.0,500,147.568772
500.0,500,147.932882
500.0,500,149.737332
500.0,500,150.251935
500.0,500,150.766553
500.0,500,151.293809
500.0,500,152.822539
500.0,500,153.190026
500.0,500,153.559659
500.0,500,153.932644
500.0,500,155.572712
500.0,500,155.949143
500.0,500,156.313481
500.0,500,156.67206
500.0,500,158.20738
500.0,500,158.574725
500.0,500,158.941471
500.0,500,159.324083
500.0,500,160.86957
500.0,500,161.247007
500.0,500,161.762829
500.0,500,162.241381
500.0,500,164.20817
500.0,500,164.590997
500.0,500,164.951156
500.0,500,165.332873
500.0,500,166.860599
500.0,500,167.226636
500.0,500,167.608549
500.0,500,167.971679
500.0,500,169.482827
500.0,500,169.844002
500.0,500,170.271673
500.0,500,170.695694
500.0,500,172.214118
500.0,500,172.593572
500.0,500,172.956102
500.0,500,173.323643
500.0,500,175.476297
500.0,500,176.024619
500.0,500,176.472894
500.0,500,176.86064
500.0,500,177.221934
500.0,500,178.841713
500.0,500,179.211309
500.0,500,179.57688
500.0,500,179.952597
500.0,500,181.44425
500.0,500,181.815667
500.0,500,182.192651
500.0,500,182.55219
500.0,500,184.025084
500.0,500,184.386952
500.0,500,184.750427
500.0,500,185.128411
500.0,500,186.867443
500.0,500,187.342837
500.0,500,187.828344
500.0,500,188.362932
500.0,500,189.941313
500.0,500,190.300879
500.0,500,190.677924
500.0,500,191.04448
500.0,500,192.586433
500.0,500,192.97468
500.0,500,193.34041
500.0,500,193.715013
500.0,500,195.235796
500.0,500,195.613392
500.0,500,195.978705
500.0,500,196.342216
500.0,500,197.855086
500.0,500,198.215775
500.0,500,198.663711
500.0,500,199.150916
500.0,500,201.178289
500.0,500,201.543242
500.0,500,201.919635
500.0,500,202.294109
500.0,500,203.963384
500.0,500,204.329074
500.0,500,204.692072
500.0,500,205.069518
500.0,500,206.571794
500.0,500,206.943118
500.0,500,207.318028
500.0,500,207.678491
500.0,500,208.040503
500.0,500,209.578855
500.0,500,209.950295
500.0,500,210.335397
500.0,500,210.691448
500.0,500,212.818141
500.0,500,213.333222
500.0,500,213.694299
500.0,500,214.117971
