#{"t_start": 1760405989.5269659, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
36.0,4737,3005.893267
24.0,2646,3010.956505
30.0,3950,3018.46489
16.0,2489,3023.271729
19.0,2907,3028.714563
23.0,3212,3034.979515
29.0,2555,3039.751432
16.0,2840,3045.228565
25.0,2273,3049.46429
29.0,3305,3055.764758
31.0,3913,3063.380584
18.0,2487,3068.176048
27.0,3119,3074.128169
41.0,4342,3082.497293
36.0,4190,3090.490843
31.0,4080,3098.402444
25.0,3056,3104.282469
42.0,4559,3112.996935
46.0,3970,3120.692285
36.0,4284,3128.916448
26.0,3286,3135.347556
31.0,3998,3142.967503
28.0,3670,3149.963978
40.0,4297,3158.503486
31.0,3001,3164.141594
24.0,2969,3169.995916
36.0,4356,3178.296682
31.0,3986,3186.013758
39.0,4383,3194.386964
27.0,3846,3201.918657
22.0,2251,3206.199594
41.0,4611,3215.065886
35.0,4137,3223.052394
26.0,3092,3228.950855
40.0,4706,3238.040182
47.0,4241,3246.131323
31.0,4008,3253.938755
29.0,2681,3259.014654
47.0,4722,3268.128734
57.0,4608,3277.016052
35.0,4058,3284.706934
29.0,4249,3293.059611
34.0,4176,3301.046625
24.0,3485,3307.624308
23.0,2896,3313.228412
27.0,4162,3321.225437
38.0,3928,3328.716244
26.0,3794,3336.167446
28.0,4062,3343.855371
36.0,3832,3351.435194
27.0,3622,3358.353283
31.0,3845,3365.662713
15.0,2500,3370.495455
35.0,3383,3376.889839
31.0,4209,3384.984718
25.0,3332,3391.497582
33.0,4167,3399.53136
51.0,5142,3409.47737
45.0,4810,3418.72137
32.0,2625,3423.764074
39.0,4275,3431.964702
32.0,3772,3439.156228
24.0,3963,3446.866912
12.0,2154,3450.920906
27.0,4067,3458.837389
17.0,2941,3464.317255
28.0,3744,3471.617526
35.0,4661,3480.649248
34.0,4417,3489.050692
45.0,4430,3497.674622
49.0,4608,3506.42475
13.0,2184,3510.743067
19.0,3012,3516.389125
28.0,3103,3522.388469
22.0,3401,3528.948803
36.0,4477,3537.44577
45.0,3958,3545.112425
24.0,2855,3550.507741
30.0,3877,3558.015115
29.0,3891,3565.423564
37.0,3384,3572.015398
46.0,5017,3581.581001
61.0,6032,3593.334102
21.0,3090,3599.26154
32.0,3582,3606.175387
18.0,2560,3611.093105
47.0,4366,3619.423858
51.0,4603,3628.294766
37.0,4328,3636.584062
34.0,3186,3642.670322
46.0,4731,3651.79623
29.0,3640,3658.799594
34.0,3296,3665.277813
40.0,4824,3674.52532
37.0,3307,3680.828075
36.0,4332,3689.287252
42.0,3558,3696.049652
54.0,5378,3706.516201
21.0,3208,3712.633578
40.0,3726,3719.780434
31.0,3040,3725.653515
22.0,2662,3730.710849
34.0,4133,3738.679916
20.0,2897,3744.204719
30.0,3955,3751.797994
26.0,3092,3757.709876
38.0,3715,3764.832459
57.0,4514,3773.358994
38.0,3926,3781.006459
22.0,2904,3786.665058
51.0,5420,3797.062104
60.0,5300,3807.225842
31.0,2486,3812.030263
45.0,3358,3818.421334
49.0,5000,3828.160656
42.0,4500,3836.904656
38.0,3780,3844.144203
35.0,2802,3849.461083
32.0,3840,3856.947489
18.0,2626,3861.951898
35.0,3563,3868.683593
27.0,3623,3875.593864
28.0,2675,3880.707416
38.0,3422,3887.350473
32.0,3241,3893.562682
37.0,3783,3900.789022
29.0,3868,3908.284504
37.0,4279,3916.552396
34.0,3764,3923.733824
24.0,2918,3929.402388
45.0,4462,3937.869396
47.0,4921,3947.455285
41.0,4271,3955.661206
27.0,3894,3963.253051
30.0,3165,3969.308157
27.0,3891,3976.746494
28.0,4139,3984.753027
34.0,4046,3992.515067
38.0,4055,4000.383168
23.0,2329,4004.713202
26.0,3184,4010.809054
29.0,3379,4017.254915
25.0,2993,4022.980515
47.0,4716,4032.091808
53.0,5224,4042.173766
34.0,3857,4049.687877
24.0,2974,4055.291574
46.0,4263,4063.620171
43.0,4476,4072.151998
28.0,4091,4080.077324
49.0,4623,4088.98215
47.0,4627,4097.891755
21.0,3006,4103.677162
33.0,3720,4110.81162
30.0,4110,4118.729244
32.0,4200,4126.809641
49.0,4677,4135.947457
35.0,3310,4142.193028
27.0,4077,4149.974305
34.0,4222,4158.133154
40.0,3789,4165.387775
68.0,6344,4177.623788
35.0,4079,4185.536758
54.0,3945,4193.200911
44.0,4797,4202.412101
45.0,4369,4210.801851
40.0,3490,4217.557351
51.0,5158,4227.538699
46.0,5100,4237.392715
33.0,3474,4243.956327
64.0,6013,4255.605661
73.0,6606,4268.469139
60.0,4692,4277.560293
51.0,5038,4287.334811
38.0,4572,4296.033848
38.0,4530,4304.848597
76.0,6501,4317.482833
46.0,4827,4326.777088
49.0,5556,4337.563264
45.0,4276,4345.757749
40.0,3919,4353.191892
36.0,4291,4361.58689
43.0,3896,4369.043832
38.0,3326,4375.311883
26.0,2949,4381.014133
44.0,4549,4389.828662
84.0,6100,4401.676123
69.0,5105,4411.418008
56.0,5071,4421.222022
11.0,1681,4424.425979
22.0,2530,4429.26175
35.0,4040,4437.093586
18.0,2452,4441.840818
36.0,4214,4449.968465
40.0,4950,4459.45148
55.0,4030,4467.243062
39.0,4480,4475.975328
41.0,4124,4483.743983
77.0,5691,4494.73447
40.0,3948,4502.39659
55.0,4432,4510.884871
45.0,4071,4518.769925
47.0,4133,4526.851579
19.0,2851,4532.350122
79.0,5139,4542.265015
42.0,4649,4551.212624
29.0,3323,4557.484384
70.0,5262,4567.668467
64.0,5333,4577.949683
78.0,6098,4589.816224
75.0,5819,4601.017731
42.0,4058,4608.87577
36.0,4158,4616.87103
79.0,5732,4627.97629
63.0,4710,4637.073102
43.0,3369,4643.627016
62.0,5148,4653.573081
74.0,5629,4664.322249
34.0,3754,4671.722666
50.0,4772,4680.86317
16.0,2700,4685.987413
61.0,4967,4695.703133
70.0,5457,4706.131442
46.0,3545,4713.009033
37.0,3070,4718.89732
59.0,5209,4728.985286
48.0,4941,4738.383788
33.0,4034,4746.249163
50.0,4802,4755.468379
45.0,4534,4764.271313
108.0,6421,4776.593133
52.0,4726,4785.721498
42.0,3829,4793.173208
27.0,3543,4800.017109
59.0,3932,4807.511669
85.0,6880,4820.802656
33.0,3347,4827.335496
43.0,3499,4833.927323
22.0,2153,4838.154666
43.0,3956,4845.674416
43.0,4915,4855.294581
82.0,5926,4866.714022
45.0,4209,4874.810425
46.0,4696,4883.886418
37.0,3467,4890.585877
59.0,5312,4900.834404
71.0,5706,4911.937601
44.0,4253,4920.334287
61.0,5857,4931.713915
56.0,5122,4941.566582
60.0,4049,4949.543966
25.0,2836,4955.070289
51.0,4281,4963.263716
67.0,3762,4970.441746
59.0,5119,4980.387224
34.0,4232,4988.518332
44.0,3461,4995.174733
59.0,6044,5006.764805
46.0,3683,5013.880889
41.0,3399,5020.43467
44.0,3937,5027.926261
66.0,5514,5038.640675
83.0,6119,5050.492194
43.0,4533,5059.31566
46.0,4223,5067.481889
28.0,4008,5074.998099
61.0,4109,5082.998667
32.0,3417,5089.618437
47.0,5494,5100.241513
55.0,4488,5108.938129
52.0,4345,5117.331886
49.0,4649,5126.235221
56.0,5068,5136.073434
73.0,5050,5145.879234
55.0,4498,5154.657485
45.0,4673,5163.646761
40.0,4755,5172.820616
29.0,3122,5178.80433
48.0,4068,5186.489996
41.0,4361,5194.986512
46.0,4350,5203.325713
68.0,5825,5214.603754
42.0,3532,5221.399001
57.0,4761,5230.574236
65.0,5314,5240.977109
84.0,6284,5253.158664
48.0,4659,5262.119906
45.0,3525,5268.797674
36.0,3755,5276.176475
64.0,5119,5286.104215
15.0,2660,5291.163284
47.0,4009,5298.80741
275.0,5176,5308.812079
73.0,6298,5320.955143
65.0,6169,5332.895546
42.0,2076,5336.931059
62.0,5807,5348.092839
58.0,4099,5355.954389
49.0,4154,5363.95875
55.0,4789,5373.369341
40.0,3449,5379.929065
62.0,4880,5389.461547
36.0,4418,5397.879367
50.0,4130,5405.84595
49.0,4388,5414.286819
38.0,4192,5422.510617
65.0,5012,5432.117105
45.0,3812,5439.372976
34.0,3811,5446.814724
40.0,4511,5455.457873
7.0,1454,5458.206007
45.0,4477,5466.888599
58.0,5099,5476.745726
63.0,5821,5488.001589
262.0,4759,5497.187506
239.0,5118,5507.133177
44.0,5254,5517.186371
48.0,4572,5526.06449
82.0,5730,5537.140431
27.0,3785,5544.317821
84.0,6088,5556.180963
70.0,5633,5567.141833
52.0,4595,5576.05777
17.0,2842,5581.426811
59.0,3810,5588.62139
63.0,5005,5598.356364
54.0,5036,5608.17163
67.0,5965,5619.64167
44.0,3983,5627.356746
69.0,5893,5638.695641
66.0,3693,5645.802853
51.0,4306,5654.078134
95.0,7436,5668.62783
79.0,5387,5678.949557
75.0,5283,5689.151
47.0,4614,5698.084014
60.0,5453,5708.754591
37.0,2183,5712.89836
263.0,5524,5723.615976
73.0,4468,5732.199255
74.0,5228,5742.265022
49.0,3844,5749.75369
32.0,3739,5756.919241
49.0,4138,5764.924585
39.0,4353,5773.285392
15.0,2613,5778.260714
43.0,4364,5786.776735
54.0,5311,5797.020041
60.0,4357,5805.345176
88.0,5760,5816.444097
64.0,5437,5827.089513
